N3,N2,B1,B2,P3,P2,P1,N1,C1,C2,C3
ERV316A3_10p11.22b,2,3,0,0,12,8,8,14,0,0,0
ERV316A3_10p11.22c,5,3,1,0,4,2,3,7,0,1,0
ERV316A3_10p12.31,1,0,0,0,0,0,0,0,0,0,0
ERV316A3_10q22.1a,102,72,3,0,124,54,121,75,1,9,4
ERV316A3_10q22.3b,2,0,0,0,0,0,0,1,0,0,0
ERV316A3_10q22.3d,41,2,0,0,145,102,86,185,12,9,1
ERV316A3_10q23.2a,0,0,0,0,0,0,0,9,0,2,0
ERV316A3_10q23.2b,7,9,0,0,0,0,0,0,0,0,0
ERV316A3_10q23.31a,3,2,0,0,8,6,2,5,0,2,0
ERV316A3_10q23.31c,0,0,0,0,0,0,0,0,0,0,0
ERV316A3_11p13a,1,0,0,0,0,0,0,0,0,0,0
ERV316A3_11p13b,3,0,0,0,2,3,0,3,0,1,0
ERV316A3_11p13c,14,8,0,0,22,17,14,26,1,0,1
ERV316A3_11p15.2a,3,8,5,1,5,6,3,10,0,0,0
ERV316A3_11p15.4a,23,15,0,0,6,1,9,8,1,0,0
ERV316A3_11p15.4g,3,2,0,0,5,6,2,2,0,0,0
ERV316A3_11p15.4k,1,0,5,0,0,4,2,2,3,0,0
ERV316A3_11q12.1b,4,0,0,0,13,10,2,12,1,0,0
ERV316A3_11q13.1a,3,5,0,0,74,35,17,14,13,16,19
ERV316A3_11q13.1b,7,2,0,0,43,18,8,5,5,2,4
ERV316A3_11q14.1a,3,0,0,0,0,0,0,1,0,0,0
ERV316A3_11q14.3d,1,0,0,0,0,3,0,2,0,0,0
ERV316A3_11q21c,2,16,0,0,6,4,5,10,0,0,0
ERV316A3_11q22.1m,1,0,0,0,0,0,0,0,0,0,0
ERV316A3_11q23.1d,1,1,0,0,3,7,4,4,1,0,0
ERV316A3_11q23.3c,1,1,0,0,0,0,0,0,0,0,0
ERV316A3_11q23.3f,3,4,0,0,19,27,10,21,2,1,5
ERV316A3_12p11.22b,4,2,0,0,3,7,0,2,0,1,0
ERV316A3_12p11.23a,15,14,0,0,19,31,6,22,0,1,0
ERV316A3_12p11.23b,14,9,0,0,12,25,8,40,1,0,0
ERV316A3_12p12.1c,2,1,0,0,6,2,1,0,2,0,0
ERV316A3_12p12.3b,1,0,0,0,2,1,1,0,0,0,0
ERV316A3_12p12.3c,1,2,0,0,27,10,7,0,3,3,0
ERV316A3_12p12.3f,5,3,0,0,2,3,0,0,0,0,0
ERV316A3_12p13.33,25,18,0,0,66,49,35,39,12,5,6
ERV316A3_12q14.1d,2,4,0,0,1,1,1,3,0,0,0
ERV316A3_12q14.1e,10,8,0,0,10,19,50,15,5,9,3
ERV316A3_12q14.2,1,1,0,0,0,0,0,1,0,1,0
ERV316A3_12q14.3a,3,2,0,0,2,0,1,0,0,0,0
ERV316A3_12q14.3b,2,1,0,0,2,0,2,2,0,0,0
ERV316A3_12q21.1,1,0,0,0,0,0,0,0,0,0,0
ERV316A3_12q21.2,1,1,0,0,1,0,0,1,0,0,0
ERV316A3_12q21.33c,1,1,0,0,0,1,0,0,0,0,0
ERV316A3_12q21.33k,1,0,0,0,4,1,2,0,0,0,1
ERV316A3_12q23.2a,5,14,0,0,11,12,5,11,0,1,3
ERV316A3_12q23.3b,2,0,0,0,0,0,0,0,0,0,0
ERV316A3_12q24.13,41,33,0,0,54,117,433,108,36,89,34
ERV316A3_12q24.32b,51,4,0,0,5,5,2,68,0,1,0
ERV316A3_13q13.3c,18,9,0,0,4,3,33,34,0,0,0
ERV316A3_13q13.3e,2,0,0,0,0,1,0,0,4,0,0
ERV316A3_13q14.11a,1,0,0,0,0,1,0,1,0,0,0
ERV316A3_13q14.13,1,0,0,0,5,1,2,4,3,0,2
ERV316A3_13q22.2b,1,0,0,0,1,0,0,0,0,0,0
ERV316A3_13q22.3a,19,13,4,0,7,11,6,13,0,1,0
ERV316A3_13q32.1b,1,0,2,0,13,2,10,5,3,1,1
ERV316A3_13q32.3,89,43,1,0,135,181,144,146,2,4,3
ERV316A3_13q33.3a,1,0,0,1,15,1,9,8,0,0,0
ERV316A3_13q33.3b,6,1,0,1,27,0,18,13,0,2,1
ERV316A3_13q33.3c,5,0,0,0,13,0,5,3,0,0,0
ERV316A3_14q12h,1,5,0,0,2,0,0,0,0,0,0
ERV316A3_14q21.1b,2,4,0,0,11,6,7,7,1,0,0
ERV316A3_14q22.3a,3,0,0,0,1,0,0,0,0,0,0
ERV316A3_14q22.3b,5,1,0,0,8,7,5,5,1,0,0
ERV316A3_14q24.2b,1,1,0,0,0,0,0,0,0,0,0
ERV316A3_14q24.2e,2,2,0,0,2,6,0,6,1,2,0
ERV316A3_14q24.2f,2,1,0,0,5,4,13,10,0,0,0
ERV316A3_14q32.11a,1,0,0,0,0,0,0,0,0,0,0
ERV316A3_14q32.11b,6,5,0,0,1,5,1,10,0,0,0
ERV316A3_14q32.11c,66,45,0,0,11,15,5,35,0,1,0
ERV316A3_15q13.1,1,0,0,0,0,0,0,0,0,0,0
ERV316A3_15q13.3a,1,2,0,0,3,0,2,1,0,0,0
ERV316A3_15q14a,2,1,0,0,1,2,0,1,1,11,3
ERV316A3_15q14d,1,0,0,0,0,0,2,0,0,1,0
ERV316A3_15q21.2a,7,10,0,0,38,41,20,31,6,11,7
ERV316A3_15q21.2b,2,3,0,0,0,1,1,0,0,0,0
ERV316A3_15q24.1a,7,1,0,0,5,5,6,8,0,0,0
ERV316A3_15q24.1b,30,17,8,2,25,18,21,41,1,5,10
ERV316A3_15q24.2,1,0,0,0,0,0,0,0,0,0,0
ERV316A3_15q25.1b,7,4,0,0,13,29,6,18,0,1,0
ERV316A3_15q26.2b,8,4,0,0,3,2,0,41,0,0,0
ERV316A3_16p12.1,1,3,0,0,1,5,3,3,0,0,0
ERV316A3_16q22.2,2,0,0,0,2,4,4,4,0,1,0
ERV316A3_16q23.1a,2,2,0,0,0,4,1,1,1,0,0
ERV316A3_17p11.2a,1,0,0,0,0,0,0,0,0,0,0
ERV316A3_17p11.2b,3,2,0,0,8,3,2,9,2,10,3
ERV316A3_17q12d,57,126,0,0,90,214,51,181,6,10,5
ERV316A3_17q21.32,1,6,0,0,1,4,1,3,0,0,0
ERV316A3_17q21.33a,5,5,0,0,3,5,3,3,0,0,0
ERV316A3_17q21.33b,6,6,0,0,8,3,15,5,0,0,0
ERV316A3_17q21.33c,2,4,0,0,9,0,3,1,0,0,0
ERV316A3_17q22b,0,0,0,0,0,0,0,0,0,0,0
ERV316A3_17q22c,2,0,0,0,0,0,0,0,0,0,0
ERV316A3_17q24.3a,7,6,1,0,4,5,9,13,2,1,0
ERV316A3_17q24.3c,1,0,0,0,0,0,0,0,0,0,0
ERV316A3_18q11.2b,5,2,0,0,3,1,0,0,0,0,0
ERV316A3_18q11.2c,6,2,3,0,14,4,17,7,72,32,57
ERV316A3_18q11.2f,6,5,0,0,7,24,2,8,0,0,2
ERV316A3_18q21.1a,15,7,0,0,11,36,67,14,2,0,1
ERV316A3_18q21.1b,51,34,0,0,46,79,28,129,4,6,1
ERV316A3_18q22.1o,3,2,0,0,5,2,2,7,0,1,0
ERV316A3_18q22.3e,17,13,0,0,36,58,18,41,50,36,48
ERV316A3_19q13.31,1,0,0,0,0,1,0,0,3,3,3
ERV316A3_1p11.2,2,0,0,0,1,0,0,0,0,0,0
ERV316A3_1p21.2b,9,3,0,0,6,3,2,13,0,0,0
ERV316A3_1p21.3a,33,7,3,0,155,85,138,68,2,2,3
ERV316A3_1p21.3b,1,0,0,0,0,0,0,1,0,0,0
ERV316A3_1p22.1a,1,0,0,0,3,1,0,0,0,0,0
ERV316A3_1p22.2c,1,7,0,0,3,12,1,5,0,2,1
ERV316A3_1p31.3a,1,1,0,0,5,2,4,2,2,0,0
ERV316A3_1p31.3b,1,0,0,0,0,1,0,0,0,0,0
ERV316A3_1p31.3c,3,0,0,0,0,0,0,0,0,1,0
ERV316A3_1p31.3f,1,2,1,0,4,5,2,10,4,1,1
ERV316A3_1p31.3g,1,0,2,1,0,4,3,3,3,0,0
ERV316A3_1p31.3h,0,0,0,5,3,13,7,1,2,0,0
ERV316A3_1p32.1a,1,2,0,0,4,5,4,1,4,1,0
ERV316A3_1p32.2f,2,1,0,0,5,11,3,13,0,0,3
ERV316A3_1p32.3a,15,1,0,0,33,4,37,5,0,1,0
ERV316A3_1p32.3b,153,185,0,0,536,369,303,488,151,179,151
ERV316A3_1p33,4,1,0,0,0,1,0,3,0,0,0
