Series16_A549ACE2_Mock_1,Series16_A549ACE2_Mock_2,Series16_A549ACE2_Mock_3,Series16_A549ACE2_SARSCoV2_1,Series16_A549ACE2_SARSCoV2_2,Series16_A549ACE2_SARSCoV2_3,Series16_A549ACE2_SARSCoV2_Rux_1,Series16_A549ACE2_SARSCoV2_Rux_2,Series16_A549ACE2_SARSCoV2_Rux_3
ERV316A3_10q22.3d,1,0,1,5,3,2,5,4,0
ERV316A3_10q23.2a,0,4,0,0,0,0,0,0,0
ERV316A3_10q23.2b,0,0,0,0,0,0,0,0,0
ERV316A3_10q23.33,1,0,0,0,0,0,0,1,0
ERV316A3_12p12.3c,1,2,1,0,0,2,1,0,0
ERV316A3_13q13.3c,1,1,2,1,0,1,1,1,0
ERV316A3_16q12.2a,1,0,0,0,0,0,0,0,0
ERV316A3_17q25.3a,1,0,0,0,0,0,0,0,0
ERV316A3_18q22.3e,1,8,12,1,1,1,7,4,9
ERV316A3_1p31.3f,1,1,0,0,0,0,1,1,0
ERV316A3_1p32.3b,4,33,22,7,7,2,6,5,2
ERV316A3_21p12,0,0,0,0,0,0,0,0,0
ERV316A3_21q22.11b,7,22,16,57,57,65,105,93,60
ERV316A3_21q22.3b,2,6,2,0,2,1,2,1,0
ERV316A3_21q22.3e,6,23,15,8,11,5,19,11,9
ERV316A3_2p25.3b,1,1,1,1,1,1,1,0,0
ERV316A3_2q35e,1,0,0,0,0,0,0,0,1
ERV316A3_2q35f,1,4,2,1,1,0,0,0,1
ERV316A3_2q37.1a,2,4,6,7,2,12,5,5,4
ERV316A3_2q37.3b,1,0,0,0,3,0,2,0,2
ERV316A3_3q29,1,1,0,0,0,0,0,1,0
ERV316A3_4p15.32b,5,17,9,5,6,6,9,7,7
ERV316A3_4p16.3a,1,1,0,0,0,0,0,0,0
ERV316A3_4q26k,1,2,3,4,1,1,0,0,0
ERV316A3_5p14.1b,1,0,3,1,1,0,0,0,0
ERV316A3_5p14.1e,13,75,52,88,107,100,142,138,128
ERV316A3_6p21.33c,12,39,30,36,45,35,65,35,33
ERV316A3_6p22.1n,2,14,1,43,69,53,89,94,70
ERV316A3_6p22.1o,2,6,2,2,4,1,6,2,2
ERV316A3_6p25.1b,1,2,2,1,4,1,2,3,5
ERV316A3_6q13b,1,0,1,0,0,0,0,0,0
ERV316A3_6q24.1a,12,42,34,28,22,24,39,26,25
ERV316A3_7q33a,1,1,0,0,0,0,0,0,0
ERV316A3_8q13.3a,0,1,2,0,0,0,0,0,0
ERV316A3_8q21.13i,1,0,0,0,0,0,0,0,0
ERV316A3_Xq26.1,2,2,5,1,1,1,2,3,1
ERV316A3_Xq28f,1,0,0,0,0,0,0,0,0
ERVL_14q22.1,0,0,1,1,0,0,2,0,1
ERVL_1p34.2,1,0,1,0,0,0,0,0,1
ERVL_22q11.21a,0,0,0,0,0,0,0,0,0
ERVL_22q11.21b,0,0,0,0,0,0,0,0,0
ERVL_5q11.2,1,7,13,5,0,0,3,2,1
ERVL_Xp11.22a,1,12,8,5,4,10,6,7,4
ERVLB4_1_KI270712v1_random,0,0,0,0,0,0,0,0,0
ERVLB4_10q11.22a,0,0,0,0,0,0,5,3,0
ERVLB4_10q11.22b,0,0,0,0,0,0,0,0,0
ERVLB4_11q21b,0,0,0,0,0,0,0,0,0
ERVLB4_13q31.2d,1,0,3,1,3,0,3,3,5
ERVLB4_15q11.1a,0,0,0,0,0,0,0,0,0
ERVLB4_15q11.1c,0,0,0,0,0,0,0,0,0
ERVLB4_15q11.2a,0,0,0,0,0,0,0,0,0
ERVLB4_15q21.2,2,4,5,0,5,1,2,4,5
ERVLB4_16_KI270728v1_random(b),0,0,0,0,0,0,0,0,0
