"","Calu3_mock3","Calu3_mock2","Calu3_mock1","Calu3_SARSCoV2_3","Calu3_SARSCoV2_2","Calu3_SARSCoV2_1","SRR1942929","SRR1942934","SRR1942956","SRR1942957","SRR1942960","SRR1942961","SRR1942989","SRR1942990","cluster","gene_type"
"SCYL3",-0.775152884840288,-1.33574202161028,-1.12064957495412,-0.251000849348142,0.0138593996319336,-0.172339025342489,-0.410346729620721,-0.281639476277585,2.10272734903424,1.93634254034149,-0.403216592468561,-0.353796800315199,0.587052148629223,0.463902517140522,1,"Human"
"CFH",0.700481652998227,0.356399366573113,0.423688192338949,1.33076800085598,1.54407413419791,1.16317686674231,-0.73457381946815,-0.529469076653318,0.118450916013934,-0.0106560539149643,-0.470824848469554,-0.730412168297884,-1.34692850205278,-1.81417466086376,5,"Human"
"FUCA2",0.960749775120816,1.57266454951429,1.40681281644043,-0.713075532934672,0.0659832815822939,-0.455006726422017,-0.158555089479983,0.120331729355673,-1.85480394361309,-1.62229127290517,-0.181773387335352,-0.292200774052903,0.652858651681767,0.49830592304791,1,"Human"
"GCLC",-0.809981811859121,-1.19753868602449,-0.585687366559069,-1.04698980079255,-0.997962089865194,-1.61140241684908,0.513861759097942,0.692325134107974,1.29108001119822,1.41196672946903,0.410363420613242,0.441803555471425,0.78445756060496,0.703704001386709,3,"Human"
"STPG1",-0.713460395509869,0.086877782208538,-0.191371075732916,1.42099893695576,0.869918734301846,1.04538355868947,-1.07366506010705,-1.02013181049984,-0.192538885142114,-0.559350214362595,-1.24161204076164,-1.03345967233078,1.44031325447296,1.16209688781823,7,"Human"
"LAS1L",0.389834325485424,1.61836766479029,0.192490055930962,-0.754896499622419,-1.44192294607676,-0.891949173482547,0.740734345571085,0.52295790249654,-1.39277664076715,-1.5174667724614,0.490704903790166,0.502566390263876,0.744983818030011,0.79637262605191,11,"Human"
"ANKIB1",-1.27553607912142,-2.11502900245187,-1.46216924390856,-0.230777196828862,-0.132905770499172,-0.546453789111949,0.477328180360896,0.628597549255427,0.97313819901392,0.848994519547722,0.569034044281591,0.550641034349875,0.899799700665876,0.815337854446515,2,"Human"
"CYP51A1",0.227988463137141,-0.342981669659389,-0.0859721783090526,-1.65840812300656,-1.51406080084489,-1.78306399310433,0.596843552639263,0.746383572426058,1.25153937174183,1.11671041966349,0.645992158303059,0.669378246822507,0.0490554752492459,0.0805955049416229,6,"Human"
"KRIT1",-1.28174400028731,-1.55459930281381,-1.47505283265929,-0.644427213893487,-0.351806257417884,-0.797469674609231,0.542575987555056,0.680566479356966,0.698133709421959,0.497263346060696,0.501672057166083,0.511425860180155,1.40887379094445,1.26458805099566,3,"Human"
"RAD52",-1.06062299745493,-1.15529605032496,-1.06548719683993,-0.0408901688250735,0.296630414884696,-0.203388811475334,-0.554005910115968,-0.474249758169923,2.01841778322909,1.78839863030358,-0.643170136843899,-0.294357019872417,0.749901501440829,0.638119720064242,1,"Human"
"BAD",1.14959418368516,2.03591024732935,1.64637401889056,-0.041440334771261,0.148542429808411,0.438474041039777,-0.091301177883376,-0.636439750520885,-0.878648794648223,-1.02637987803515,-0.300212766548186,-0.443482247486862,-1.19956553553829,-0.801424435321031,10,"Human"
"LAP3",-0.248046296528707,-0.212466763377805,-0.224855484612221,1.69917493406316,1.52008255363962,1.59456552744316,-0.784810648019144,-0.573954316221693,0.541900063995671,0.444241424461253,-0.723052018849584,-0.79108630416058,-1.07230223456504,-1.16939043726811,5,"Human"
"CD99",0.999926157143458,1.22672344343052,0.979307382628418,1.02614470135999,1.00385332466171,1.06696003025047,-0.410690821434454,-0.438064202067824,-0.815099830995559,-0.830036837811427,-0.478960551088558,-0.42842465067153,-1.4344295117269,-1.46720863367832,4,"Human"
"HS3ST1",0.329949813108027,0.577486798361849,0.564176850275219,1.46592422081128,1.28573658309851,1.63776742926314,-0.516815410325318,-0.804595403506637,-0.182585290585697,-0.343258351344114,-0.62688799532212,-0.570585200836122,-1.45819713161852,-1.35811691137949,5,"Human"
"AOC1",1.30091983585051,1.44508994487625,1.25183875261719,0.653292381046188,0.885076491535172,0.91571206601982,-0.607756078340492,-0.868160675468999,-0.973226499560258,-0.969138945460213,-0.661744285013796,-0.529888815194344,-1.22006909042785,-0.621945082479172,10,"Human"
"WNT16",-1.01730256222391,-1.01730256222391,-0.223720762390477,-1.01730256222391,-1.01730256222391,-1.01730256222391,0.114699439864302,0.227324396828376,0.514867562072551,0.4236392355182,0.21052343196763,0.0199094115346996,1.85440108115643,1.94486901456782,2,"Human"
"HECW1",1.54451061632472,0.559610572413861,0.15715207207785,1.11641812813216,0.554225312697081,1.55082429932838,-0.233115609406953,-0.999296695151666,-1.99300339136152,-0.269691060197361,-0.869062387402089,-0.196550321316294,-0.435328368221267,-0.486693167916898,5,"Human"
