Run	download_path	SampleName	Protiocol	Infection	Time	What	MOI	Treatment	Platform	Title	Reads
SRR11517680	https://sra-download.ncbi.nlm.nih.gov/traces/sra64/SRR/011247/SRR11517680	A549_Adeno_GFP_ACE2_mock3	mRNA	MOCK	24	A549_ACE2	None	NA	NextSeq 500	Transcriptional response of human lung epithelial cells to SARS-CoV-2 infection	29164551
SRR11517681	https://sra-download.ncbi.nlm.nih.gov/traces/sra62/SRR/011247/SRR11517681	A549_Adeno_GFP_ACE2_mock2	mRNA	MOCK	24	A549_ACE2	None	NA	NextSeq 500	Transcriptional response of human lung epithelial cells to SARS-CoV-2 infection	2669447
SRR11517682	https://sra-download.ncbi.nlm.nih.gov/traces/sra63/SRR/011247/SRR11517682	A549_Adeno_GFP_ACE2_mock1	mRNA	MOCK	24	A549_ACE2	None	NA	NextSeq 500	Transcriptional response of human lung epithelial cells to SARS-CoV-2 infection	19320311
SRR11517741	https://sra-download.ncbi.nlm.nih.gov/traces/sra62/SRR/011247/SRR11517741	A549_Adeno_GFP_ACE2_SARS_CoV2_3	mRNA	SARS_CoV_2_M02	24	A549_ACE2	0.2	NA	NextSeq 500	Transcriptional response of human lung epithelial cells to SARS-CoV-2 infection	23586566
SRR11517742	https://sra-download.ncbi.nlm.nih.gov/traces/sra63/SRR/011247/SRR11517742	A549_Adeno_GFP_ACE2_SARS_CoV2_2	mRNA	SARS_CoV_2_M02	24	A549_ACE2	0.2	NA	NextSeq 500	Transcriptional response of human lung epithelial cells to SARS-CoV-2 infection	5720676
SRR11517743	https://sra-download.ncbi.nlm.nih.gov/traces/sra63/SRR/011247/SRR11517743	A549_Adeno_GFP_ACE2_SARS_CoV2_1	mRNA	SARS_CoV_2_M02	24	A549_ACE2	0.2	NA	NextSeq 500	Transcriptional response of human lung epithelial cells to SARS-CoV-2 infection	4841347
SRR11573892	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR11573892/SRR11573892.1	Series16_A549ACE2_Mock_1	mRNA	MOCK	24	A549_ACE2	None	NA	NextSeq 500	Transcriptional response of human lung epithelial cells to SARS-CoV-2 infection	992599
SRR11573896	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR11573896/SRR11573896.1	Series16_A549ACE2_Mock_2	mRNA	MOCK	24	A549_ACE2	None	NA	NextSeq 500	Transcriptional response of human lung epithelial cells to SARS-CoV-2 infection	4887332
SRR11573900	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR11573900/SRR11573900.1	Series16_A549ACE2_Mock_3	mRNA	MOCK	24	A549_ACE2	None	NA	NextSeq 500	Transcriptional response of human lung epithelial cells to SARS-CoV-2 infection	3630721
SRR11573904	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR11573904/SRR11573904.1	Series16_A549ACE2_SARSCoV2_1	mRNA	SARS_CoV_2_M2	24	A549_ACE2	2	NA	NextSeq 500	Transcriptional response of human lung epithelial cells to SARS-CoV-2 infection	4679547
SRR11573908	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR11573908/SRR11573908.1	Series16_A549ACE2_SARSCoV2_2	mRNA	SARS_CoV_2_M2	24	A549_ACE2	2	NA	NextSeq 500	Transcriptional response of human lung epithelial cells to SARS-CoV-2 infection	5297735
SRR11573912	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR11573912/SRR11573912.1	Series16_A549ACE2_SARSCoV2_3	mRNA	SARS_CoV_2_M2	24	A549_ACE2	2	NA	NextSeq 500	Transcriptional response of human lung epithelial cells to SARS-CoV-2 infection	5097685
SRR11573916	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR11573916/SRR11573916.1	Series16_A549ACE2_SARSCoV2_Rux_1	mRNA	SARS_CoV_2_M2_RX	24	A549_ACE2	2	Ruxolitinib	NextSeq 500	Transcriptional response of human lung epithelial cells to SARS-CoV-2 infection	7353106
SRR11573920	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR11573920/SRR11573920.1	Series16_A549ACE2_SARSCoV2_Rux_2	mRNA	SARS_CoV_2_M2_RX	24	A549_ACE2	2	Ruxolitinib	NextSeq 500	Transcriptional response of human lung epithelial cells to SARS-CoV-2 infection	6813787
SRR11573924	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR11573924/SRR11573924.1	Series16_A549ACE2_SARSCoV2_Rux_3	mRNA	SARS_CoV_2_M2_RX	24	A549_ACE2	2	Ruxolitinib	NextSeq 500	Transcriptional response of human lung epithelial cells to SARS-CoV-2 infection	5337164
